time,cpu,mem,diskRand,diskSeq
1605798466,904.12,1793.11,32.54,37.70
1605800214,910.12,1776.74,40.31,44.68
1605802023,911.68,1794.48,36.05,38.12
1605803760,909.46,1777.51,37.28,36.57
1605805556,910.21,1779.48,39.35,37.42
1605807358,911.95,1791.29,36.08,35.15
1605809156,908.82,1785.04,38.22,32.95
1605810953,911.34,1785.71,41.16,43.96
1605812761,911.07,1786.96,36.89,36.51
1605814554,911.48,1784.37,36.44,44.30
1605816362,903.83,1787.83,36.60,33.34
1605818150,911.04,1790.57,39.92,39.90
1605819966,909.01,1771.38,35.27,36.13
1605821764,908.89,1767.88,34.47,36.13
1605823552,910.07,1782.21,40.47,36.79
1605825362,908.40,1770.71,35.87,35.89
1605827151,907.15,1776.43,37.35,36.56
1605828946,908.14,1778.83,41.19,41.83
1605830762,906.49,1760.52,36.01,32.69
1605832555,910.09,1784.91,38.29,34.62
1605834349,910.24,1785.22,42.26,37.54
1605836163,905.24,1773.25,38.24,25.11
1605838554,908.13,1755.45,26.51,1.56
1605840353,895.92,1755.42,11.08,1.56
1605842153,900.97,1764.76,11.10,1.56
1605843954,903.14,1765.83,11.10,1.56
1605845755,905.49,1766.28,11.14,1.56
1605847551,904.19,1753.34,10.99,1.56
1605849351,902.03,1761.35,11.12,1.56
1605851151,898.35,1764.22,11.09,1.56
1605852951,906.34,1774.39,11.11,1.56
1605854784,906.93,1775.12,8.82,1.56
1605856552,904.54,1779.82,10.26,1.56
1605858353,906.28,1771.64,11.15,1.56
1605860153,909.28,1775.21,11.12,1.56
1605861951,907.76,1777.50,11.03,1.56
1605863751,907.82,1774.78,11.12,1.56
1605865549,908.14,1778.25,11.06,1.56
1605867350,908.10,1780.21,11.13,1.56
1605869149,907.98,1771.25,11.06,1.56
1605870945,906.18,1774.96,11.00,1.56
1605872747,902.57,1770.52,11.14,1.56
1605874547,907.38,1777.66,11.13,1.56
1605876347,908.50,1764.30,11.10,1.56
1605878147,910.02,1794.57,11.12,1.56
1605879949,910.58,1787.77,11.14,1.56
1605881748,911.07,1791.81,11.07,1.56
1605883546,910.28,1788.25,11.03,1.55
1605885350,910.25,1789.18,11.18,1.56
1605887150,909.87,1788.61,11.10,1.56
1605888949,910.84,1791.43,11.08,1.56
1605890747,911.41,1789.03,11.05,1.56
1605892546,912.32,1796.64,11.08,1.56
1605894344,913.23,1797.22,11.05,1.56
1605896149,913.18,1798.09,11.23,1.56
1605897947,912.55,1798.69,11.06,1.56
1605899749,912.48,1797.12,11.17,1.56
1605901547,913.53,1795.49,11.03,1.56
1605903356,913.36,1797.97,11.35,1.56
1605905153,914.28,1792.93,11.02,1.56
1605906951,913.54,1798.23,11.06,1.56
1605908748,913.32,1798.86,11.00,1.56
1605910546,914.81,1798.84,11.05,1.56
1605912349,911.79,1797.03,11.18,1.56
1605914148,907.51,1801.78,11.11,1.56
1605915947,915.38,1803.00,11.06,1.56
1605917749,911.91,1800.83,11.18,1.56
1605919547,912.37,1798.35,11.02,1.56
1605921350,913.64,1802.85,11.19,1.56
1605923147,913.92,1800.46,11.02,1.56
1605924948,913.26,1798.45,11.09,1.56
1605926751,912.97,1796.23,11.19,1.56
1605928549,913.18,1798.33,10.84,1.56
1605930347,912.95,1797.03,11.06,1.56
1605932149,913.53,1797.13,11.14,1.56
1605933949,912.61,1795.78,11.08,1.56
1605935748,915.17,1805.15,11.08,1.55
1605937547,913.24,1792.19,11.08,1.56
1605939348,911.65,1786.10,11.13,1.56
1605941149,912.69,1792.18,11.09,1.56
1605942950,910.64,1783.89,11.12,1.56
1605944751,911.75,1788.66,11.13,1.56
1605946546,910.75,1789.46,11.00,1.55
1605948348,912.23,1790.64,11.16,1.56
1605950148,912.52,1784.17,11.12,1.56
1605951945,911.94,1783.84,11.02,1.56
1605953747,911.54,1785.67,11.18,1.56
1605955547,911.41,1782.66,11.07,1.56
1605957348,911.35,1785.23,11.14,1.56
1605959145,911.97,1789.80,11.01,1.56
1605960947,910.00,1781.59,11.18,1.56
1605962747,910.19,1782.34,11.10,1.56
1605964547,911.93,1789.57,11.13,1.56
1605966346,912.40,1792.91,11.09,1.56
1605968148,912.30,1788.89,11.16,1.56
1605969947,914.67,1797.73,11.07,1.56
1605971746,913.86,1793.48,11.08,1.56
