time,cpu,mem,diskRand,diskSeq
1606991401,1139,6954.81,4.7114,57.803
1606993201,1129,6907.68,4.7066,51.709
1606995001,1132,6900.93,4.7123,59.426
1606996801,1118,6835.75,4.7106,49.159
1606998601,1123,6832.33,4.7068,56.587
1607000401,1132,6906.56,4.7102,54.908
1607002201,1128,6909.58,4.7088,73.852
1607004001,1131,6896.98,4.7093,65.468
1607005801,1130,6914.80,4.7091,66.196
1607007601,1131,6918.85,4.7117,67.848
1607009401,1132,6908.58,4.711,56.758
1607011201,1126,6900.22,4.7116,53.385
1607013001,1131,6903.30,4.7095,60.964
1607014801,1131,6913.06,4.7104,67.511
1607016601,1131,6910.72,4.7084,56.286
1607018401,1129,6903.15,4.7109,55.504
1607020201,1132,6891.61,4.7108,56.528
1607022001,1131,6913.52,4.7107,52.911
1607023801,1133,6917.31,4.7115,71.512
1607025601,1131,6913.35,4.7098,67.018
1607027401,1125,6886.84,4.7093,65.956
1607029201,1128,6855.44,4.7106,55.913
1607031001,1126,6864.61,4.7096,59.282
1607032801,1128,6863.84,4.7104,65.107
1607034601,1127,6883.82,4.7123,63.831
1607036401,1130,6908.34,4.7087,65.002
1607038201,1132,6903.91,4.7089,55.434
1607040001,1131,6919.47,4.7092,58.036
1607041801,1133,6914.50,4.7094,54.289
1607043601,1131,6794.99,4.7113,59.577
1607045401,1130,6918.06,4.7136,59.114
1607047201,1133,6897.88,4.7105,68.346
1607049001,1131,6915.99,4.7127,53.667
1607050801,1131,6920.93,4.7103,67.996
1607052601,1130,6855.37,4.7106,54.688
1607054401,1129,6914.18,4.7099,56.732
1607056201,1132,6908.95,4.7062,59.895
1607058001,1132,6914.26,4.7092,66.849
1607059801,1132,6918.12,4.709,66.118
1607061601,1132,6919.37,4.7125,56.551
1607063401,1131,6921.93,4.7117,64.464
1607065201,1132,6912.50,4.7095,58.498
1607067001,1131,6927.98,4.7086,66.502
1607068801,1131,6916.35,4.7084,64.878
1607070601,1131,6914.51,4.7112,72.422
1607072401,1132,6900.20,4.7077,61.421
1607074201,1132,6923.31,4.7106,49.963
1607076001,1132,6918.30,4.7091,58.71
1607077801,1132,6866.30,4.7096,60.372
1607079601,1130,6889.87,4.711,66.075
1607081401,1132,6905.99,4.7099,66.915
1607083201,1131,6913.72,4.7104,59.647
1607085001,1133,6922.96,4.7082,54.037
1607086801,1131,6910.94,4.7116,66.009
1607088601,1125,6874.41,4.7121,66.233
1607090401,1130,6898.47,4.7081,61.232
1607092201,1133,6875.51,4.7098,64.464
1607094001,1132,6887.13,4.7098,56.811
1607095801,1131,6922.92,4.7114,70.746
1607097601,1129,6914.55,4.7115,63.35
1607099401,1130,6867.39,4.7077,55.059
1607101201,1109,6726.76,4.7095,62.21
1607103001,1131,6910.40,4.7091,64.577
1607104801,1132,6902.65,4.7065,62.018
1607106601,1129,6905.64,4.7078,58.254
1607108401,1131,6894.36,4.7086,66.266
1607110201,1130,6906.72,4.7132,64.913
1607112001,1131,6910.56,4.7073,64.916
1607113801,1132,6914.25,4.7092,55.212
1607115601,1130,6918.95,4.7106,52.429
1607117401,1133,6907.45,4.7116,68.401
1607119201,1132,6919.33,4.7091,54.568
1607121001,1133,6913.62,4.7107,70.477
1607122801,1132,6912.25,4.7055,66.449
1607124601,1132,6907.25,4.7108,61.848
1607126401,1131,6920.35,4.7092,47.459
1607128201,1131,6922.11,4.7082,68.464
1607130001,1131,6913.49,4.7067,66.331
1607131801,1130,6922.52,4.7072,64.576
1607133601,1132,6902.81,4.7122,53.738
1607135401,1132,6920.52,4.706,44.445
1607137201,1131,6916.97,4.7102,55.256
1607139001,1133,6916.42,4.7083,56.858
1607140801,1129,6913.64,4.7119,67.98
1607142601,1131,6902.38,4.707,65.047
1607144401,1131,6916.07,4.7111,56.568
1607146201,1131,6918.37,4.7102,57.032
1607148001,1133,6915.45,4.7115,60.044
1607149801,1130,6920.11,4.7117,56.517
1607151601,1131,6904.51,4.7084,70.28
1607153401,1131,6920.26,4.7119,55.556
1607155201,1131,6911.46,4.7059,65.569
1607157001,1133,6914.79,4.7084,63.908
1607158801,1130,6917.96,4.7104,57.727
1607160601,1132,6907.44,4.7103,66.339
1607162401,1133,6917.11,4.7114,67.427
1607164201,1132,6918.48,4.7134,67.03
1607166001,1132,6915.98,4.7111,66.693
