time,cpu,mem,diskRand,diskSeq,fork,uplink
1608387119,1205.12,10620.36,4.68,120.21,11447.88,37041
1608387481,1204.39,10645.05,4.67,120.18,11388.30,37954
1608387844,1204.66,10651.66,4.67,120.27,11371.11,38107
1608388208,1204.88,10648.20,4.68,120.29,11389.76,38253
1608388570,1205.63,10644.26,4.67,120.27,11333.95,37151
1608388932,1205.40,10646.99,4.66,120.27,11426.04,37172
1608389294,1205.27,10643.62,2.25,120.25,11350.61,38712
1608389657,1205.61,10644.69,2.26,120.27,11349.83,38579
1608390019,1204.82,10644.66,2.29,120.27,11358.58,37457
1608390382,1204.11,10638.95,2.28,120.24,11337.40,36906
