time,cpu,mem,diskRand,diskSeq,fork,uplink
1608398632,1184.24,9832.38,117.38,85.92,10021.27,22192
1608398998,1185.34,9857.79,114.35,116.62,6209.93,20840
1608399364,1185.81,9862.55,82.91,83.99,10410.67,21866
1608399730,1185.39,9857.27,83.87,85.23,10966.57,21730
1608400096,1184.39,9855.91,84.45,82.14,11092.52,21687
1608400461,1184.64,9844.19,94.94,91.26,10576.35,21750
1608400827,1184.66,9858.54,84.66,115.46,11103.21,22497
1608401188,1186.13,9843.97,85.67,85.80,10769.23,22034
1608401554,1183.98,9847.96,82.68,85.03,10902.43,21733
1608401920,1183.91,9854.26,84.38,82.09,10914.88,21640
