time,cpu,mem,diskRand,diskSeq,fork,uplink
1608383492,1205.64,10645.16,4.67,120.28,11756.26,46339
1608383854,1205.43,10646.97,4.67,120.26,11700.61,46148
1608384215,1205.37,10650.30,4.68,120.31,11593.20,45823
1608384576,1204.90,10647.71,4.68,120.29,11815.67,46756
1608384937,1205.51,10643.55,4.68,120.30,11715.33,46127
1608385298,1205.92,10654.11,4.68,120.30,11751.74,46237
1608385659,1204.64,10629.92,4.68,120.24,11652.13,45932
1608386020,1204.64,10652.33,4.68,120.30,11737.96,46178
1608386381,1205.21,10649.84,4.67,120.30,11811.37,46280
1608386742,1205.15,10645.87,4.67,120.30,11777.87,46542
