time,cpu,mem,diskRand,diskSeq,fork,uplink
1608391505,277.41,802.78,44.23,43.85,284.49,2269
1608391876,279.37,787.12,47.48,45.84,281.14,2259
1608392248,279.46,794.34,44.02,47.94,287.23,2176
1608392618,276.03,847.27,47.95,48.21,278.83,2074
1608392990,274.85,800.80,47.58,47.98,295.14,1869
1608393359,280.76,752.77,46.04,48.34,294.12,2254
1608393727,280.31,818.41,45.80,47.29,295.33,2220
1608394096,280.68,785.61,47.56,45.53,288.20,2228
1608394467,276.29,828.14,45.64,46.17,293.05,1882
1608394836,281.90,743.25,46.86,48.60,285.13,2315
